time_seconds,current_time,x,y
32.375931,2024-05-27T21:24:38.882Z,818,766
32.392586,2024-05-27T21:24:38.882Z,822,768
32.409241,2024-05-27T21:24:38.882Z,820,763
32.425896,2024-05-27T21:24:38.882Z,816,762
32.44255,2024-05-27T21:24:38.882Z,819,762
32.459205,2024-05-27T21:24:38.882Z,814,763
32.47586,2024-05-27T21:24:38.882Z,817,766
32.492514,2024-05-27T21:24:38.882Z,816,766
32.509169,2024-05-27T21:24:38.882Z,808,758
32.525824,2024-05-27T21:24:38.882Z,807,753
32.542478,2024-05-27T21:24:38.882Z,826,734
32.559133,2024-05-27T21:24:38.882Z,949,770
32.575788,2024-05-27T21:24:38.882Z,1000,794
32.592443,2024-05-27T21:24:38.882Z,1003,796
32.609097,2024-05-27T21:24:38.882Z,994,794
32.625752,2024-05-27T21:24:38.882Z,993,791
32.642407,2024-05-27T21:24:38.882Z,999,786
32.659061,2024-05-27T21:24:38.882Z,1000,789
32.675716,2024-05-27T21:24:38.882Z,996,779
32.692371,2024-05-27T21:24:38.882Z,995,776
32.709026,2024-05-27T21:24:38.882Z,993,774
32.725681,2024-05-27T21:24:38.882Z,1016,739
32.742336,2024-05-27T21:24:38.882Z,998,750
32.75899,2024-05-27T21:24:38.882Z,995,752
32.775645,2024-05-27T21:24:38.882Z,997,751
32.7923,2024-05-27T21:24:38.882Z,990,749
32.808954,2024-05-27T21:24:38.882Z,986,745
32.825609,2024-05-27T21:24:38.882Z,992,744
32.842264,2024-05-27T21:24:38.882Z,994,742
32.858919,2024-05-27T21:24:38.882Z,991,744
32.875573,2024-05-27T21:24:38.882Z,986,744
32.892228,2024-05-27T21:24:38.882Z,987,747
32.908883,2024-05-27T21:24:38.882Z,993,748
32.925537,2024-05-27T21:24:38.882Z,952,748
32.942192,2024-05-27T21:24:38.882Z,895,739
32.958847,2024-05-27T21:24:38.882Z,763,745
32.975501,2024-05-27T21:24:38.882Z,753,757
32.992156,2024-05-27T21:24:38.882Z,753,753
33.008811,2024-05-27T21:24:39.882Z,764,750
33.025466,2024-05-27T21:24:39.882Z,764,751
33.042121,2024-05-27T21:24:39.882Z,761,748
33.058776,2024-05-27T21:24:39.882Z,761,747
33.07543,2024-05-27T21:24:39.882Z,763,751
33.092085,2024-05-27T21:24:39.882Z,764,750
33.10874,2024-05-27T21:24:39.882Z,763,748
33.125395,2024-05-27T21:24:39.882Z,765,745
33.142049,2024-05-27T21:24:39.882Z,760,749
33.158704,2024-05-27T21:24:39.882Z,758,751
33.175359,2024-05-27T21:24:39.882Z,767,750
33.192013,2024-05-27T21:24:39.882Z,763,753
33.208668,2024-05-27T21:24:39.882Z,759,755
33.225323,2024-05-27T21:24:39.882Z,767,753
33.241977,2024-05-27T21:24:39.882Z,768,752
33.258632,2024-05-27T21:24:39.882Z,767,752
33.275287,2024-05-27T21:24:39.882Z,765,755
33.291941,2024-05-27T21:24:39.882Z,762,756
33.308596,2024-05-27T21:24:39.882Z,773,753
33.325251,2024-05-27T21:24:39.882Z,790,749
33.341906,2024-05-27T21:24:39.882Z,795,754
33.358561,2024-05-27T21:24:39.882Z,793,757
33.375216,2024-05-27T21:24:39.882Z,793,751
33.391871,2024-05-27T21:24:39.882Z,791,751
33.408525,2024-05-27T21:24:39.882Z,795,754
33.42518,2024-05-27T21:24:39.882Z,798,755
33.441835,2024-05-27T21:24:39.882Z,794,752
33.458489,2024-05-27T21:24:39.882Z,792,752
33.475144,2024-05-27T21:24:39.882Z,791,753
33.491799,2024-05-27T21:24:39.882Z,787,752
33.508453,2024-05-27T21:24:39.882Z,797,748
33.525108,2024-05-27T21:24:39.882Z,800,749
33.541763,2024-05-27T21:24:39.882Z,792,756
33.558417,2024-05-27T21:24:39.882Z,797,755
33.575072,2024-05-27T21:24:39.882Z,796,757
33.591727,2024-05-27T21:24:39.882Z,790,756
33.608381,2024-05-27T21:24:39.882Z,792,752
33.625036,2024-05-27T21:24:39.882Z,790,754
33.641691,2024-05-27T21:24:39.882Z,791,752
