x,y,time_seconds
654,270,7.726892
661,262,7.743547
651,261,7.760201
651,254,7.776855
652,267,7.79351
650,265,7.810165
649,260,7.826818
649,263,7.843473
630,260,7.860127
584,263,7.87678
579,261,7.893436
583,259,7.91009
589,267,7.926744
583,277,7.943398
573,284,7.960053
579,282,7.976706
581,283,7.993362
582,281,8.010016
587,279,8.026671
539,272,8.043324
511,274,8.059979
520,278,8.076633
527,276,8.093288
515,271,8.109942
515,265,8.126597
522,262,8.14325
516,267,8.159905
510,269,8.176559
513,274,8.193213
522,287,8.209868
523,278,8.226522
529,390,8.243176
535,503,8.25983
541,616,8.276485
547,729,8.29314
553,842,8.309793
559,955,8.326448
565,1068,8.343102
572,1181,8.359756
720,1067,8.37641
916,916,8.393065
558,523,8.409719
558,523,8.426373
601,462,8.443028
609,446,8.459681
651,417,8.476336
625,323,8.492991
612,279,8.509645
615,325,8.526299
611,327,8.542953
597,290,8.559608
609,298,8.576261
600,315,8.592916
561,317,8.609571
555,313,8.626224
553,292,8.642879
548,280,8.659533
555,279,8.676187
555,283,8.692842
550,288,8.709496
552,291,8.726149
556,287,8.742804
556,289,8.759458
546,291,8.776112
572,292,8.792767
639,277,8.809421
641,271,8.826076
632,272,8.842729
649,268,8.859384
671,264,8.876038
1025,222,8.892692
1024,234,8.909347
1019,236,8.926001
1011,234,8.942654
1016,238,8.959309
1025,246,8.975963
1023,248,8.992617
1025,253,9.009271
1025,252,9.025926
1020,255,9.042579
1014,258,9.059234
1018,251,9.075888
1029,251,9.092543
1025,256,9.109196
1019,255,9.125851
1028,257,9.142505
1028,263,9.159159
1018,266,9.175813
1019,269,9.192468
1028,273,9.209122
1025,277,9.225776
1018,279,9.24243
1021,275,9.259084
1024,274,9.275739
1017,273,9.292392
1015,270,9.309046
1018,274,9.3257
1022,279,9.342355
1051,273,9.359009
1118,271,9.375663
1132,273,9.392317
1133,279,9.408972
1132,278,9.425625
1126,274,9.44228
1124,273,9.458934
1130,270,9.475588
1131,272,9.492242
1127,265,9.508897
1127,260,9.52555
1125,269,9.542205
1128,273,9.558859
1132,274,9.575513
1119,266,9.592167
1102,263,9.608821
1102,263,9.625476
1103,259,9.642129
1107,261,9.658783
1106,261,9.675438
1109,254,9.692091
1111,261,9.708745
1103,264,9.7254
1100,261,9.742053
1105,264,9.758708
1106,257,9.775362
1101,258,9.792016
1104,263,9.80867
1113,263,9.825324
1138,266,9.841978
1147,268,9.858632
1140,270,9.875287
1141,268,9.891941
1136,263,9.908595
1134,266,9.925249
1136,261,9.941903
1131,262,9.958557
1138,267,9.975211
1139,259,9.991865
1138,257,10.008518
1143,260,10.025173
1142,260,10.041827
1187,261,10.05848
1254,274,10.075135
1251,277,10.091789
1258,274,10.108443
1258,272,10.125097
1253,273,10.141751
1252,277,10.158406
1246,275,10.175059
1241,271,10.191714
1245,270,10.208368
1252,267,10.225021
1257,267,10.241676
1259,259,10.25833
1261,254,10.274984
1259,258,10.291638
1252,257,10.308292
1296,254,10.324946
1359,257,10.3416
1355,261,10.358253
1359,264,10.374907
1354,261,10.391561
1354,261,10.408216
1365,267,10.42487
1361,267,10.441524
1351,265,10.458179
1363,267,10.474834
1367,272,10.491488
1362,275,10.508143
1361,274,10.524798
1362,273,10.541452
1352,275,10.558107
1267,268,10.574762
1101,257,10.591416
505,304,10.608071
484,312,10.624726
379,332,10.64138
375,333,10.658035
372,327,10.67469
378,338,10.691345
377,343,10.707998
369,335,10.724653
369,332,10.741308
374,325,10.757962
310,313,10.774617
274,316,10.791272
283,331,10.807926
284,337,10.824581
280,339,10.841236
282,331,10.85789
281,332,10.874545
278,339,10.8912
286,334,10.907854
289,332,10.924509
278,319,10.941164
282,311,10.957819
283,309,10.974473
280,306,10.991128
283,302,11.007783
283,299,11.024437
278,301,11.041092
273,305,11.057746
303,563,11.0744
331,771,11.091055
331,737,11.10771
331,703,11.124364
331,670,11.141019
331,636,11.157674
331,602,11.174328
331,569,11.190983
331,535,11.207638
331,501,11.224293
331,468,11.240947
326,470,11.257602
288,452,11.274257
293,446,11.290911
306,417,11.307566
304,406,11.324221
309,399,11.340875
310,398,11.35753
305,383,11.374185
300,384,11.390839
296,361,11.407494
295,356,11.424148
307,366,11.440802
317,364,11.457457
312,375,11.474112
306,395,11.490767
308,360,11.507421
317,361,11.524076
309,371,11.540731
302,360,11.557385
298,359,11.57404
307,359,11.590695
317,353,11.607349
311,349,11.624004
316,344,11.640659
329,358,11.657313
393,352,11.673968
387,337,11.690623
390,340,11.707277
403,347,11.723932
401,340,11.740587
397,324,11.757242
396,327,11.773895
400,331,11.79055
409,331,11.807205
411,364,11.823859
412,361,11.840514
407,337,11.857169
401,338,11.873823
403,335,11.890478
418,334,11.907133
424,348,11.923787
689,368,11.940442
691,356,11.957097
677,343,11.973751
671,329,11.990406
671,327,12.007061
672,341,12.023716
669,338,12.04037
668,320,12.057025
673,314,12.07368
672,331,12.090334
670,329,12.106989
667,318,12.123643
665,305,12.140297
667,307,12.156952
663,309,12.173607
628,310,12.190261
590,323,12.206916
593,327,12.223571
589,326,12.240225
590,327,12.25688
589,318,12.273535
590,322,12.29019
587,331,12.306844
593,330,12.323499
608,359,12.340154
585,447,12.356808
590,462,12.373463
595,478,12.390118
600,494,12.406772
605,510,12.423427
610,526,12.440082
615,541,12.456736
620,557,12.47339
625,573,12.490045
630,589,12.506699
635,605,12.523354
641,621,12.540009
679,492,12.556664
665,436,12.573318
628,498,12.589973
639,475,12.606628
639,475,12.623282
636,439,12.639937
631,429,12.656592
647,376,12.673246
636,325,12.689901
632,366,12.706556
631,387,12.72321
622,370,12.739865
646,288,12.75652
648,298,12.773174
653,347,12.789829
686,358,12.806484
701,363,12.823139
695,356,12.839792
695,319,12.856447
700,357,12.873102
699,358,12.889756
693,335,12.906411
703,323,12.923066
701,321,12.93972
711,342,12.956375
703,354,12.97303
699,352,12.989684
700,341,13.006339
751,338,13.022994
810,337,13.039648
917,324,13.056303
921,330,13.072958
921,330,13.089613
920,324,13.106267
923,321,13.122922
923,310,13.139577
923,300,13.156231
922,295,13.172886
907,298,13.18954
900,294,13.206194
975,278,13.222849
1142,258,13.239504
1326,301,13.256158
1344,313,13.272813
1336,318,13.289468
1335,310,13.306122
1342,298,13.322777
1345,298,13.339432
1350,322,13.356087
1342,325,13.372741
1343,309,13.389396
1350,303,13.406051
1340,308,13.422705
1346,314,13.43936
1351,315,13.456015
1346,307,13.472669
1344,309,13.489324
1318,309,13.505979
1298,303,13.522633
1281,304,13.539287
1278,305,13.555942
1281,310,13.572596
1284,309,13.589251
1288,316,13.605906
1285,322,13.622561
1276,314,13.639215
1250,303,13.65587
847,309,13.672525
810,312,13.689179
494,306,13.705834
495,349,13.722489
507,352,13.739142
508,354,13.755797
506,356,13.772452
510,356,13.789106
506,354,13.805761
512,348,13.822415
476,346,13.839069
452,343,13.855724
268,343,13.872379
268,347,13.889034
263,346,13.905687
260,342,13.922341
260,342,13.938996
259,347,13.95565
267,342,13.972305
271,341,13.98896
270,337,14.005613
277,336,14.022268
272,336,14.038923
271,333,14.055577
266,331,14.072232
264,357,14.088886
305,647,14.10554
403,1356,14.122195
392,1254,14.13885
382,1152,14.155505
372,1050,14.172158
362,948,14.188813
351,846,14.205468
341,744,14.222122
331,642,14.238777
321,541,14.255431
315,542,14.272084
320,535,14.288739
343,508,14.305394
354,528,14.322048
347,429,14.338702
343,396,14.355357
338,383,14.372011
337,399,14.388666
332,399,14.405321
329,398,14.421975
383,395,14.438629
403,384,14.455284
417,362,14.471939
419,354,14.488593
414,372,14.505247
408,385,14.521902
407,373,14.538556
408,364,14.555211
411,369,14.571866
410,361,14.588519
412,355,14.605173
421,359,14.621828
417,356,14.638482
410,352,14.655137
411,352,14.671791
410,348,14.688446
445,347,14.7051
467,349,14.721755
456,351,14.738409
464,358,14.755063
467,357,14.771718
460,361,14.788373
461,361,14.805027
460,356,14.821681
466,352,14.838336
473,353,14.85499
468,351,14.871645
459,357,14.888299
462,350,14.904953
468,347,14.921608
517,351,14.938263
699,338,14.954917
738,341,14.971571
741,333,14.988225
749,330,15.00488
747,339,15.021534
745,324,15.038189
745,308,15.054843
748,309,15.071497
752,315,15.088152
751,308,15.104807
748,291,15.121461
750,295,15.138115
750,314,15.15477
739,306,15.171424
754,301,15.188078
947,301,15.204733
1123,301,15.221388
1270,292,15.238042
1244,308,15.254697
1247,314,15.271351
1245,321,15.288005
1249,328,15.30466
1253,326,15.321314
1252,325,15.337968
1251,319,15.354622
1254,314,15.371277
1254,320,15.387931
1252,321,15.404586
1226,311,15.421241
883,298,15.437894
806,306,15.454549
736,316,15.471204
734,326,15.487858
728,329,15.504512
730,321,15.521167
724,311,15.537822
