x,y,time_seconds
203,643,12.804943
199,647,12.821598
194,647,12.838252
189,637,12.854908
185,636,12.871563
186,639,12.888217
189,638,12.904872
315,610,12.921527
509,604,12.938181
942,627,12.954836
944,622,12.971491
937,627,12.988145
933,625,13.0048
930,623,13.021455
927,627,13.038109
922,629,13.054764
924,628,13.071419
919,636,13.088074
918,639,13.104728
925,632,13.121383
928,630,13.138038
923,636,13.154692
924,637,13.171347
923,640,13.188002
921,639,13.204656
923,639,13.221311
926,644,13.237966
927,656,13.254621
928,655,13.271276
926,658,13.287931
925,657,13.304585
924,658,13.32124
924,662,13.337895
926,658,13.35455
925,658,13.371204
960,661,13.387859
978,633,13.404514
1063,632,13.421168
1059,633,13.437823
1053,641,13.454478
1051,639,13.471132
1054,634,13.487787
1054,636,13.504442
1052,636,13.521096
1053,636,13.537751
1054,638,13.554406
1051,638,13.57106
1053,636,13.587715
1054,638,13.60437
1055,638,13.621025
1052,640,13.637679
1049,640,13.654334
1048,640,13.67099
1052,637,13.687644
1051,639,13.704299
1054,643,13.720954
1059,658,13.737608
1058,665,13.754263
1059,665,13.770918
1057,665,13.787572
1052,663,13.804226
1055,666,13.820881
1053,666,13.837535
1052,667,13.85419
1056,665,13.870844
1057,665,13.887499
1056,659,13.904153
1053,662,13.920808
1062,670,13.937463
998,639,13.954116
1131,650,13.970771
1121,644,13.987426
1127,634,14.00408
1127,633,14.020734
1127,640,14.037389
1128,639,14.054043
1243,790,14.070698
1317,708,14.087353
1228,670,14.104007
1129,629,14.120662
1116,622,14.137317
984,458,14.153971
1117,623,14.170625
1250,789,14.18728
1120,620,14.203935
1118,620,14.220588
1121,626,14.237243
1121,626,14.253898
1241,790,14.270552
1205,731,14.287206
1170,673,14.303861
1134,615,14.320515
1099,557,14.33717
1090,564,14.353824
1198,718,14.370478
1216,694,14.387133
1234,670,14.403788
1252,646,14.420442
1270,623,14.437096
1288,599,14.453751
1306,575,14.470406
1325,552,14.487059
1142,493,14.503715
1132,489,14.52037
1133,490,14.537023
1166,623,14.553678
1174,621,14.570333
1096,590,14.586987
1097,590,14.603641
1170,619,14.620296
1170,620,14.63695
1170,617,14.653605
1168,610,14.670259
1170,608,14.686914
1172,611,14.703568
1172,612,14.720223
1248,640,14.736877
1248,641,14.753531
1248,641,14.770186
1306,600,14.786841
1364,560,14.803494
1423,520,14.820149
1423,520,14.836804
1337,609,14.853457
1337,609,14.870112
1338,607,14.886767
1340,605,14.903421
1342,603,14.920076
1344,601,14.936731
1346,600,14.953386
1251,570,14.970039
1159,539,14.986694
